C.D.S.  -  SIMBAD4 rel 1.8  -  2023.06.26CEST11:22:38

 IdentList
----------

 # 	typed ident	            identifier             	         typ          	       coord1 (ICRS,J2000/2000)        	  Mag U  	  Mag B  	  Mag V  	  Mag R  	 Mag I  	  spec. type   	#bib	#not
---	-----------	-----------------------------------	----------------------	---------------------------------------	---------	---------	---------	---------	--------	---------------	----	----
310	hip 52346  	V* WY UMa                          	LongPeriodV*          	10 41 53.2119672120 +51 37 59.700847080	     ~   	11.37    	9.91     	     ~   	     ~  	M5             	  15	   0
311	hip 11423  	V* S Tri                           	Mira                  	02 27 19.5230656752 +32 44 22.871066820	     ~   	12.20    	10.62    	9.24     	     ~  	M2e            	  26	   0
312	hip 105464 	V* CD Mic                          	LongPeriodV*_Candidate	21 21 43.8792530712 -30 08 55.310961012	     ~   	10.44    	9.01     	     ~   	     ~  	M3/4III        	  15	   0
313	hip 87255  	V* V1088 Sco                       	LongPeriodV*          	17 49 44.8711491384 -42 36 19.026485280	     ~   	9.69     	8.32     	     ~   	     ~  	M3/4(III)      	  14	   0
314	hip 47085  	L 462-86                           	HighPM*               	09 35 43.8144285288 -38 13 07.263742584	     ~   	     ~   	     ~   	11.790   	     ~  	M0.5Vk         	  16	   0
315	hip 99045  	HIP 99045                          	Star                  	20 06 32.3857567488 +12 40 54.634702872	     ~   	     ~   	     ~   	11.52    	     ~  	~              	   4	   1
316	hip 32671  	V* KR CMa                          	S*                    	06 48 50.5905123984 -20 25 32.256147180	     ~   	9.97     	8.50     	     ~   	     ~  	M4S            	  37	   0
317	hip 12642  	LP 410-81                          	HighPM*               	02 42 25.5639726000 +18 14 42.238076856	     ~   	13.7     	14.051   	11.578   	     ~  	M1.5V          	  20	   0
318	hip 1546   	G 266-87                           	HighPM*               	00 19 17.3065785271 -19 54 30.698200162	     ~   	14.05    	14.576   	11.988   	     ~  	M0.5V          	  26	   0
319	hip 81438  	V* OS Aps                          	LongPeriodV*          	16 38 00.6817302792 -70 53 02.917310568	     ~   	10.84    	9.44     	     ~   	     ~  	M4/5II/III     	  12	   0
320	hip 23947  	V* V412 Aur                        	LongPeriodV*_Candidate	05 08 48.0291856368 +42 34 42.654776736	     ~   	10.29    	8.89     	     ~   	     ~  	M2             	  21	   0
321	hip 98060  	V* V1467 Aql                       	LongPeriodV*_Candidate	19 55 42.9243556608 +03 21 52.344607968	     ~   	13.43    	14.028   	     ~   	     ~  	M4             	   8	   0
322	hip 22796  	V* AU Aur                          	C*                    	04 54 14.9992708728 +49 54 00.310512168	     ~   	     ~   	11.81    	9.24     	     ~  	C7,2           	  68	   0
323	hip 108163 	BD+45 3721C                        	Star                  	21 54 51.1849474272 +45 46 59.661546672	     ~   	11.56    	10.82    	     ~   	     ~  	~              	   4	   0
324	hip 7241   	L 222-33                           	HighPM*               	01 33 17.2818260592 -51 41 39.595655868	     ~   	13.43    	12.082   	11.702   	     ~  	M2e            	  14	   0
325	hip 28701  	V* V446 Aur                        	LongPeriodV*          	06 03 42.5629831632 +50 36 45.096182172	     ~   	10.20    	8.78     	     ~   	     ~  	M5             	  10	   0
326	hip 101678 	V* BS Mic                          	LongPeriodV*          	20 36 35.7780751536 -38 01 31.784574612	     ~   	10.44    	9.04     	     ~   	     ~  	M5III          	  11	   0
================================================================================

<hr><p>

