C.D.S.  -  SIMBAD4 rel 1.8  -  2023.06.26CEST11:22:38

 IdentList
----------

 # 	typed ident	            identifier             	         typ          	       coord1 (ICRS,J2000/2000)        	  Mag U  	  Mag B  	  Mag V  	  Mag R  	 Mag I  	  spec. type   	#bib	#not
---	-----------	-----------------------------------	----------------------	---------------------------------------	---------	---------	---------	---------	--------	---------------	----	----
58 	hip 2215   	V* AG Cet                          	LongPeriodV*          	00 28 00.5467736712 -11 39 31.678095672	     ~   	8.56     	7.36     	     ~   	     ~  	M5III          	  44	   0
59 	hip 41302  	V* CV Lyn                          	LongPeriodV*          	08 25 37.3916409528 +52 16 55.978572036	     ~   	10.33    	9.13     	     ~   	     ~  	M8             	  15	   0
60 	hip 70026  	V* V1002 Cen                       	LongPeriodV*          	14 19 44.3448458160 -36 51 29.560983732	     ~   	8.46     	7.32     	     ~   	     ~  	M5/6III        	  19	   1
61 	hip 15145  	V* AA Per                          	Mira                  	03 15 14.4533613984 +46 34 51.692999988	     ~   	11.04    	9.42     	     ~   	     ~  	M6             	  29	   0
62 	hip 90474  	IRC +50280                         	Mira                  	18 27 40.5460757424 +49 18 33.333039432	     ~   	     ~   	     ~   	10.55    	     ~  	M8e            	  27	   0
63 	hip 91316  	V* RS Dra                          	Mira                  	18 37 33.4673841648 +74 19 42.637236240	     ~   	11.21    	9.95     	     ~   	     ~  	K0             	  27	   0
64 	hip 108844 	V* KL Aqr                          	LongPeriodV*          	22 02 56.3597755728 +00 04 11.592403284	     ~   	10.49    	9.27     	     ~   	     ~  	M7             	  21	   0
65 	hip 114507 	V* SS And                          	LongPeriodV*          	23 11 30.0687252096 +52 53 12.491249352	     ~   	10.68    	9.16     	     ~   	     ~  	M7-II:         	  32	   0
66 	hip 78872  	V* Z Sco                           	Mira                  	16 06 00.7040790072 -21 43 59.586202020	     ~   	12.27    	8.70     	     ~   	     ~  	M5.5e:         	  70	   0
67 	hip 106642 	V* W Cyg                           	LongPeriodV*          	21 36 02.4974143922 +45 22 28.523281074	8.21     	6.97     	5.38     	3.03     	0.89    	M4e-M6eIII     	 179	   0
68 	hip 112155 	V* BD Peg                          	LongPeriodV*          	22 42 58.9638559056 +28 09 25.624404828	     ~   	10.04    	8.84     	     ~   	     ~  	M8             	  29	   0
69 	hip 102440 	V* U Del                           	LongPeriodV*          	20 45 28.2357324504 +18 05 24.138355308	9.30     	8.06     	6.38     	     ~   	     ~  	M4-6II-III     	 125	   0
