C.D.S.  -  SIMBAD4 rel 1.8  -  2023.06.26CEST11:33:38

 IdentList
----------

 # 	typed ident	            identifier             	          typ          	       coord1 (ICRS,J2000/2000)        	  Mag U  	  Mag B  	  Mag V  	  Mag R  	  Mag I  	  spec. type   	#bib	#not
---	-----------	-----------------------------------	-----------------------	---------------------------------------	---------	---------	---------	---------	---------	---------------	----	----
46 	hip 76143  	HD 138488A                         	Double or Multiple Star	15 33 09.5145939344 -24 29 25.650022686	     ~   	7.11     	6.91     	7.71     	     ~   	A7V            	  63	   0
47 	hip 91436  	BD+52 2258                         	Double or Multiple Star	18 38 51.27550 +52 20 38.1454          	     ~   	     ~   	     ~   	7.65     	     ~   	kA5hA8mF1gF4   	  33	   0
48 	hip 15550  	HD 20682A                          	Star                   	03 20 20.6391837126 +19 43 49.273602149	     ~   	8.44     	8.31     	8.861    	     ~   	A2V            	  13	   0
49 	hip 36581  	HD 59509                           	Variable Star          	07 31 25.4069603664 +27 37 21.069099012	     ~   	8.14     	8.04     	     ~   	     ~   	F8             	  13	   1
50 	hip 37280  	HD 61506                           	Double or Multiple Star	07 39 18.59942 -08 40 53.9679          	     ~   	     ~   	     ~   	     ~   	     ~   	A0V            	  13	   0
51 	hip 3885   	* 65 Psc                           	Double or Multiple Star	00 49 53.16701 +27 42 37.0327          	     ~   	     ~   	     ~   	     ~   	     ~   	~              	  30	   0
52 	hip 58791  	HD 104711                          	Double or Multiple Star	12 03 31.76939 -02 26 48.9360          	     ~   	9.483    	9.090    	8.674    	     ~   	F2V            	  26	   0
53 	hip 13199  	HD 17613                           	Double or Multiple Star	02 49 52.38344 +08 56 22.7253          	     ~   	     ~   	     ~   	     ~   	     ~   	~              	  31	   0
54 	hip 70209  	HIP 70209                          	High Proper Motion Star	14 21 51.5138858160 +03 54 33.926879268	     ~   	12.07    	11.24    	     ~   	     ~   	G2             	  11	   0
55 	hip 85765  	HD 158177                          	Double or Multiple Star	17 31 30.24642 -60 26 24.5422          	     ~   	     ~   	     ~   	     ~   	     ~   	F0V            	  31	   0
56 	hip 114536 	HD 218928                          	Double or Multiple Star	23 11 59.56946 -11 56 00.7933          	     ~   	     ~   	     ~   	     ~   	     ~   	G8III          	  15	   0
57 	hip 39332  	CD-34 4240                         	Double or Multiple Star	08 02 27.48552 -34 33 59.5563          	     ~   	     ~   	10.0     	     ~   	     ~   	~              	   6	   0
58 	hip 71041  	HD 127508                          	Double or Multiple Star	14 31 43.99689 +01 50 18.4529          	     ~   	9.826    	9.524    	9.505    	     ~   	A2/3III        	  12	   0
59 	hip 92442  	V* S Sct                           	Carbon Star            	18 50 20.0367791256 -07 54 27.429169356	13.93    	9.89     	6.80     	     ~   	     ~   	C-N5           	 207	   0
60 	hip 61941  	* gam Vir                          	High Proper Motion Star	12 41 39.6282288151 -01 26 57.854228847	3.07     	3.10     	2.74     	2.45     	2.26     	F1-F2V         	 467	   0
61 	hip 14008  	BD+00 494                          	Double or Multiple Star	03 00 20.30147 +01 25 01.7161          	     ~   	10.057   	9.551    	9.608    	     ~   	F8             	  11	   0
62 	hip 32424  	HD 49187                           	Double or Multiple Star	06 46 06.96938 -27 18 41.9328          	     ~   	     ~   	     ~   	     ~   	     ~   	B8V            	   9	   0
63 	hip 86921  	HD 160996                          	Double or Multiple Star	17 45 38.85126 -50 46 54.7418          	     ~   	     ~   	     ~   	8.04     	     ~   	F7V            	  21	   0
64 	hip 59006  	HD 105077                          	Double or Multiple Star	12 05 55.51736 -27 17 23.6110          	     ~   	9.94     	9.38     	9.37     	     ~   	G2V            	  10	   0
65 	hip 13424  	HD 17743                           	Double or Multiple Star	02 52 52.03213 +52 59 50.2470          	     ~   	     ~   	     ~   	     ~   	     ~   	B8III          	  47	   0
66 	hip 34859  	V* VX Gem                          	Carbon Star            	07 12 48.9705620544 +14 36 03.716151984	     ~   	     ~   	10.80    	     ~   	     ~   	C9,1e          	  81	   0
67 	hip 98345  	HD 189636                          	Double or Multiple Star	19 58 51.89488 +47 21 48.1859          	     ~   	     ~   	     ~   	     ~   	     ~   	K0             	  19	   0
68 	hip 52914  	HD 94008                           	Star                   	10 49 20.3212975248 -68 44 47.748465672	     ~   	10.03    	9.77     	9.943    	     ~   	A5/8V          	  14	   0
