C.D.S.  -  SIMBAD4 rel 1.8  -  2023.06.27CEST09:59:15

 IdentList
----------

 # 	typed ident	            identifier             	             typ              	       coord1 (ICRS,J2000/2000)        	  Mag U  	  Mag B  	  Mag V  	  Mag R  	  Mag I  	   spec. type    	#bib	#not
---	-----------	-----------------------------------	------------------------------	---------------------------------------	---------	---------	---------	---------	---------	-----------------	----	----
321	hip 37756  	HD 62845                           	Star                          	07 44 36.0194181048 -33 04 52.619041596	     ~   	9.5      	9.4      	     ~   	     ~   	G6III            	   9	   0
322	hip 38915  	HIP 38915                          	Star                          	07 57 51.0403428240 -00 41 21.998858244	     ~   	     ~   	     ~   	     ~   	     ~   	~                	  10	   1
323	hip 70063  	HIP 70063                          	Star                          	14 20 16.5354343886 +08 17 09.635630033	     ~   	     ~   	     ~   	12.097   	     ~   	~                	   8	   0
324	hip 73471  	AG+31 1308                         	Star                          	15 00 57.5374972416 +31 22 18.513571764	     ~   	11.21    	10.47    	     ~   	     ~   	G5               	   9	   0
325	hip 77913  	V* SY Nor                          	Classical Cepheid Variable    	15 54 42.8132408112 -54 33 59.158876428	     ~   	11.12    	9.77     	9.73     	7.928    	F9Ib+B4.5V       	  98	   0
326	hip 79513  	HD 145448A                         	Star                          	16 13 30.1708494528 -51 37 02.755191396	     ~   	9.83     	8.88     	     ~   	     ~   	G8/K1III         	   9	   0
327	hip 79844  	2MASS J16175131-4003267            	Young Stellar Object Candidate	16 17 51.3182660184 -40 03 26.766101988	     ~   	     ~   	     ~   	     ~   	     ~   	~                	   9	   0
328	hip 80825  	CPD-54 7726                        	Star                          	16 30 18.7281618384 -54 57 17.698578408	     ~   	7.68     	7.31     	     ~   	     ~   	~                	   7	   0
329	hip 81895  	BD+50 2322B                        	Star                          	16 43 40.2303423264 +50 40 07.145376132	     ~   	11.6     	10.8     	     ~   	     ~   	~                	  10	   0
330	hip 82977  	V* UU Oph                          	Eclipsing Binary              	16 57 22.6453823616 -25 47 58.543672704	     ~   	10.58    	10.44    	     ~   	     ~   	A1IV             	  61	   0
331	hip 85384  	BD+14 3255                         	Star                          	17 26 48.9450483792 +14 32 55.615521696	     ~   	11.38    	10.26    	     ~   	     ~   	F8               	   8	   0
332	hip 85661  	HD 158576                          	Star                          	17 30 19.9977180432 -04 22 09.760440000	     ~   	7.04     	6.73     	     ~   	     ~   	F2IV/V           	  32	   0
333	hip 85794  	BD+57 1775B                        	Star                          	17 31 51.3469319976 +56 54 57.745484676	     ~   	11.3     	11.1     	     ~   	     ~   	~                	   8	   0
334	hip 89691  	CD-32 13979                        	Star                          	18 18 15.1859383584 -32 38 25.580762664	     ~   	11.73    	11.31    	     ~   	     ~   	~                	   5	   0
335	hip 92005  	BD+39 3517                         	Double or Multiple Star       	18 45 09.99562 +39 13 32.8001          	     ~   	     ~   	     ~   	     ~   	     ~   	A2               	   9	   0
336	hip 93329  	HD 176869                          	Double or Multiple Star       	19 00 34.2246262096 +39 50 41.808828847	     ~   	     ~   	     ~   	     ~   	     ~   	B9               	  19	   0
337	hip 98107  	HD 188576B                         	Star                          	19 56 16.4640982584 -13 20 42.873690948	     ~   	10.55    	9.27     	     ~   	     ~   	K2/4             	   9	   0
338	hip 101110 	AG+37 1989                         	Star                          	20 29 43.9373356224 +38 07 46.100314884	7.06     	8.41     	8.45     	     ~   	     ~   	B9IV             	  10	   0
339	hip 107468 	HD 207181                          	Star                          	21 46 02.2659397045 +45 06 20.974351966	     ~   	9.19     	9.17     	9.504    	     ~   	B9               	   8	   0
340	hip 107728 	HD 207593                          	Star                          	21 49 23.8427530152 +30 45 14.036435820	     ~   	9.05     	8.89     	     ~   	     ~   	A0               	  11	   0
341	hip 108115 	HIP 108115                         	Eclipsing Binary              	21 54 15.9397403458 +59 26 35.919181579	     ~   	12.34    	12.59    	11.831   	     ~   	~                	   8	   0
342	hip 114440 	StKM 1-2104                        	Double or Multiple Star       	23 10 37.23999 +07 46 01.0404          	     ~   	     ~   	     ~   	11.674   	     ~   	K4               	   4	   0
343	hip 115983 	HIP 115983                         	Star                          	23 29 54.6722118816 -20 34 13.558537920	     ~   	11.12    	10.57    	     ~   	     ~   	~                	   8	   0
================================================================================

<hr><p>

