C.D.S.  -  SIMBAD4 rel 1.8  -  2023.06.27CEST09:59:15

 IdentList
----------

 # 	typed ident	            identifier             	             typ              	       coord1 (ICRS,J2000/2000)        	  Mag U  	  Mag B  	  Mag V  	  Mag R  	  Mag I  	   spec. type    	#bib	#not
---	-----------	-----------------------------------	------------------------------	---------------------------------------	---------	---------	---------	---------	---------	-----------------	----	----
83 	hip 76872  	HD 139926                          	Star                          	15 41 49.1358524232 -26 08 57.429199104	     ~   	10.02    	9.02     	     ~   	     ~   	K2/3III+F/G      	  10	   0
84 	hip 79378  	BD-02 4125                         	Star                          	16 12 02.7293711568 -02 50 19.156413048	     ~   	10.99    	9.90     	     ~   	     ~   	G5               	  10	   0
85 	hip 81096  	HD 148952                          	Star                          	16 33 50.9887636776 -46 33 31.392302292	     ~   	10.269   	8.978    	     ~   	     ~   	M0III            	  17	   0
86 	hip 81258  	HIP 81258                          	Star                          	16 35 49.1021313096 -45 39 07.800604452	     ~   	11.43    	11.30    	     ~   	     ~   	B7V              	  13	   0
87 	hip 83281  	HD 153426                          	Star                          	17 01 13.0078001616 -38 12 11.886304536	6.79     	7.61     	7.47     	8.49     	     ~   	O8.5III          	  96	   0
88 	hip 85292  	HD 157671                          	Double or Multiple Star       	17 25 43.5242757840 -26 59 29.007427308	     ~   	10.59    	9.28     	     ~   	     ~   	K0/1III+A0/2V    	  12	   1
89 	hip 86186  	HD 159738                          	Star                          	17 36 40.9965610944 -09 13 42.354647976	     ~   	10.04    	9.62     	     ~   	     ~   	A3II             	  11	   0
90 	hip 86204  	BD+26 3052                         	Star                          	17 36 58.2780585624 +26 45 34.156720800	     ~   	10.32    	9.39     	     ~   	     ~   	G5               	   9	   0
91 	hip 86266  	HD 159877                          	Star                          	17 37 36.2030982120 -15 34 15.718995192	     ~   	6.31     	5.94     	     ~   	     ~   	F0IV             	  44	   0
92 	hip 86581  	HD 160783                          	Star                          	17 41 37.9309182888 +04 10 15.779561196	     ~   	8.77     	8.51     	     ~   	     ~   	A1V              	  12	   0
93 	hip 86669  	HD 160789                          	Star                          	17 42 29.1122979600 -15 59 34.542196620	     ~   	10.58    	8.69     	     ~   	     ~   	K3(III)          	   9	   0
94 	hip 86898  	HD 316204                          	Star                          	17 45 20.8065454224 -28 25 22.458768636	9.09     	9.61     	9.31     	9.72     	     ~   	B5               	  28	   0
95 	hip 88100  	HD 163894                          	Star                          	17 59 36.6277990176 -27 04 10.704550692	     ~   	10.04    	8.18     	     ~   	     ~   	K2/3III          	  12	   0
96 	hip 90321  	HD 169476                          	Star                          	18 25 43.9504073856 -23 04 51.197529144	     ~   	9.29     	8.01     	     ~   	     ~   	G8III            	  14	   0
97 	hip 90725  	CD-31 15604                        	Star                          	18 30 36.4069910160 -31 24 51.498938412	     ~   	10.54    	9.83     	     ~   	     ~   	F8V              	   8	   0
98 	hip 93484  	HD 337487                          	Pulsating Variable            	19 02 19.3918232952 +25 23 01.916271132	     ~   	10.54    	10.49    	     ~   	     ~   	B8               	   8	   0
99 	hip 94512  	HD 179939                          	Star                          	19 14 10.0429568952 +07 45 50.716958724	     ~   	7.38     	7.23     	     ~   	     ~   	A3               	  23	   0
100	hip 95009  	HD 181600                          	Star                          	19 19 57.7656724488 +28 33 47.920577472	     ~   	8.17     	8.16     	     ~   	     ~   	A0               	   9	   0
101	hip 95472  	CD-29 16108                        	Star                          	19 25 11.9861657856 -29 07 25.624503588	     ~   	11.55    	10.63    	     ~   	     ~   	~                	   6	   0
102	hip 96208  	HD 231812                          	Star                          	19 33 47.3569488576 +17 19 40.942678080	     ~   	10.52    	9.087    	     ~   	     ~   	K2               	   9	   0
103	hip 97061  	HD 353525                          	Star                          	19 43 31.6379226336 +14 16 58.492146144	     ~   	10.76    	10.50    	     ~   	     ~   	F0               	   7	   0
104	hip 97487  	HD 239226                          	Star                          	19 48 51.0337090080 +56 53 14.167918104	     ~   	9.88     	8.48     	     ~   	     ~   	K7               	   7	   0
105	hip 99418  	BD+48 3054                         	Star                          	20 10 42.6753303264 +48 55 08.939037504	     ~   	10.12    	10.00    	     ~   	     ~   	B5               	  15	   0
106	hip 99793  	HIP 99793                          	Star                          	20 14 50.1644630904 +08 55 32.680590744	     ~   	13.24    	11.55    	     ~   	     ~   	M1               	   7	   0
